ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0132,10/10/2016,2016,10,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,10/10/2016
2016-0133,14/10/2016,2016,10,14,CONDUCTOR,MOTO,MASCULINO,41,25/10/2016
2016-0134,23/10/2016,2016,10,23,CONDUCTOR,MOTO,MASCULINO,25,23/10/2016
2016-0135,24/10/2016,2016,10,24,PEATON,PEATON,MASCULINO,29,25/10/2016
2016-0136,25/10/2016,2016,10,25,CONDUCTOR,MOTO,SD,SD,SD
2016-0137,25/10/2016,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0138,27/10/2016,2016,10,27,CICLISTA,BICICLETA,FEMENINO,33,SD
2016-0139,28/10/2016,2016,10,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35,SD
2016-0140,31/10/2016,2016,10,31,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20,SD
2016-0142,5/11/2016,2016,11,5,CONDUCTOR,MOTO,MASCULINO,46,5/11/2016
2016-0143,6/11/2016,2016,11,6,CONDUCTOR,MOTO,MASCULINO,35,SD
2016-0144,7/11/2016,2016,11,7,PEATON,PEATON,MASCULINO,83,SD
2016-0145,7/11/2016,2016,11,7,CONDUCTOR,MOTO,MASCULINO,39,7/11/2016
2016-0146,9/11/2016,2016,11,9,PEATON,PEATON,FEMENINO,29,SD
2016-0147,16/11/2016,2016,11,16,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55,16/11/2016
2016-0148,16/11/2016,2016,11,16,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0150,18/11/2016,2016,11,18,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41,18/11/2016
2016-0151,18/11/2016,2016,11,18,PEATON,PEATON,SD,SD,SD
2016-0152,23/11/2016,2016,11,23,CONDUCTOR,MOTO,MASCULINO,42,24/11/2016
2016-0153,25/11/2016,2016,11,25,PEATON,PEATON,FEMENINO,83,25/11/2016
2016-0154,26/11/2016,2016,11,26,CONDUCTOR,MOTO,MASCULINO,38,SD
2016-0155,26/11/2016,2016,11,26,PEATON,PEATON,FEMENINO,29,SD
2016-0156,26/11/2016,2016,11,26,CONDUCTOR,MOTO,MASCULINO,23,30/11/2016
2016-0157,3/12/2016,2016,12,3,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0159,4/12/2016,2016,12,4,CONDUCTOR,AUTO,MASCULINO,23,SD
2016-0160,6/12/2016,2016,12,6,CONDUCTOR,CARGAS,MASCULINO,29,6/12/2016
2016-0161,6/12/2016,2016,12,6,PEATON,PEATON,MASCULINO,50,6/12/2016
2016-0162,7/12/2016,2016,12,7,PEATON,PEATON,MASCULINO,38,1/1/2017
2016-0163,10/12/2016,2016,12,10,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0164,11/12/2016,2016,12,11,CONDUCTOR,AUTO,MASCULINO,29,SD
2016-0165,12/12/2016,2016,12,12,CICLISTA,BICICLETA,MASCULINO,37,SD
2016-0168,13/12/2016,2016,12,13,CONDUCTOR,MOTO,MASCULINO,43,13/12/2016
2016-0169,15/12/2016,2016,12,15,CONDUCTOR,MOTO,MASCULINO,24,16/12/2016
2016-0170,19/12/2016,2016,12,19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21,19/12/2016
2016-0171,25/12/2016,2016,12,25,CONDUCTOR,MOTO,SD,SD,SD
2016-0172,26/12/2016,2016,12,26,CONDUCTOR,MOTO,MASCULINO,38,26/12/2016
2016-0173,26/12/2016,2016,12,26,CONDUCTOR,MOTO,MASCULINO,35,SD
2016-0174,27/12/2016,2016,12,27,SD,SD,SD,SD,SD
2016-0175,27/12/2016,2016,12,27,PEATON,PEATON,FEMENINO,SD,SD
2016-0176,28/12/2016,2016,12,28,CONDUCTOR,MOTO,MASCULINO,28,SD
2016-0177,29/12/2016,2016,12,29,PEATON,PEATON,FEMENINO,27,SD
2016-0178,30/12/2016,2016,12,30,PEATON,PEATON,FEMENINO,7,SD
2017-0001,2/1/2017,2017,1,2,CONDUCTOR,MOTO,MASCULINO,18,2/1/2017
2017-0003,5/1/2017,2017,1,5,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33,5/1/2017
2017-0007,11/1/2017,2017,1,11,PEATON,PEATON,MASCULINO,48,11/1/2017
2017-0008,16/1/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,29,16/1/2017
2017-0009,16/1/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,36,16/1/2017
2017-0010,16/1/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,23,16/1/2017
2017-0011,22/1/2017,2017,1,22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29,22/1/2017
2017-0012,24/1/2017,2017,1,24,CONDUCTOR,MOTO,MASCULINO,30,24/1/2017
2017-0013,27/1/2017,2017,1,27,PEATON,PEATON,MASCULINO,4,27/1/2017
2017-0014,28/1/2017,2017,1,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,28/1/2017
