N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
1.0,12,10.0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2.0,22,10.0,37,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2.0,22,10.0,60,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,10,8.0,50,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,11,5.0,81,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,12,1.0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,19,4.0,35,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,2,3.0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,0,14.0,41,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5,8.0,25,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,5,14.0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0,11.0,30,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,20,13.0,33,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,23,14.0,35,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,2,13.0,20,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,23,1.0,46,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,4,8.0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,12,4.0,83,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,20,13.0,39,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,20,4.0,29,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,21,1.0,55,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,22,15.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,18,4.0,41,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,20,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,21,7.0,42,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,15,15.0,83,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,14,8.0,38,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1.0,16,10.0,29,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1.0,19,3.0,23,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,6,11.0,23,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,7,8.0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,5,9.0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,7,14.0,50,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,5,15.0,38,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,7,11.0,23,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,6,4.0,29,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,8,4.0,37,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,10,4.0,43,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,15,12.0,24,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,17,12.0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,19,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,8,5.0,38,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,19,7.0,35,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,8,7.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1.0,1,1.0,28,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,4,14.0,27,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1.0,16,3.0,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1.0,1,11.0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,3,4.0,33,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,17,1.0,48,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1.0,0,14.0,29,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,13,5.0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,16,6.0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,2,12.0,29,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1.0,14,4.0,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,7,4.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,8,12.0,22,1,0,0,0,0,0,0,1,0,0,0,0,1,0
